Model,Pretraining,L1 Corpus Size (Rows),L1 Learning Rate,L1 Epochs,L1 Per GPU Batch Size,Num Topics,L2 Learning Rate,L2 Epochs,L2 Per GPU Batch Size,L3 Adam Epsilon,L3 Learning Rate,L3 Epochs,L3 Per GPU Batch Size,F1 Train,F1 Dev
LSTM,No,,,,,,,,,,,,,,
CNN + Fully Connected,No,,,,,,,,,,,,,,
BERT,L1 + L2,100000,1.00E-04,4,8,7,2.00E-05,4,8,1.00E-09,2.00E-05,8,8,"[0.4715175789942145, 0.6200489541611037, 0.7126168224299065, 0.7848242100578551, 0.8417890520694258, 0.8829550511793502, 0.9187805963506898, 0.9299065420560748]","[0.5885885885885885, 0.6166166166166166, 0.6556556556556556, 0.6766766766766766, 0.6826826826826827, 0.6816816816816816, 0.6906906906906907, 0.6846846846846847]"
BERT,L1 + L2,100000,1.00E-04,4,8,7,2.00E-05,4,8,1.00E-09,1.00E-05,8,8,"[0.41911437472185137, 0.5581886960391633, 0.6170449488206498, 0.6633288829550512, 0.7085002225189141, 0.734534935469515, 0.7622385402759234, 0.7733644859813084]","[0.5375375375375375, 0.5705705705705706, 0.6026026026026026, 0.6266266266266266, 0.6366366366366366, 0.6376376376376376, 0.6496496496496497, 0.6486486486486487]"
16 BATCH TRIALS ,,,,,,,,,,,,,,,
BERT,L1,100000,2.00E-05,1,16,7,NA,NA,NA,1.00E-09,2.00E-05,4,8,"[0.46306186025812196, 0.6237205162438807, 0.7027147307521139, 0.7605696484201158]","[0.5925925925925926, 0.6216216216216216, 0.6446446446446447, 0.6536536536536537]"
BERT,L1,100000,2.00E-05,1,16,7,NA,NA,NA,1.00E-09,1.00E-04,4,8,"[0.514018691588785, 0.6959279038718291, 0.8485758789497108, 0.9481530930129061]","[0.6126126126126126, 0.6636636636636637, 0.6836836836836837, 0.6936936936936937]"
BERT,L1,100000,2.00E-05,1,16,7,NA,NA,NA,1.00E-08,1.00E-04,4,8,"[0.5111259457053849, 0.6960391633288829, 0.8521361815754339, 0.9483756119270138]","[0.6006006006006006, 0.6546546546546547, 0.6836836836836837, 0.6956956956956957]"
BERT,L1,100000,2.00E-05,2,16,7,NA,NA,NA,1.00E-08,1.00E-04,4,8,"[0.5051179350244771, 0.6833555852247442, 0.8401201602136181, 0.9389185580774366]","[0.6196196196196196, 0.6636636636636637, 0.6916916916916916, 0.7197197197197197]"
BERT,L1,100000,2.00E-05,4,16,7,NA,NA,NA,1.00E-08,1.00E-04,4,8,"[0.5031152647975078, 0.6862483311081442, 0.8431241655540721, 0.9432576769025367]","[0.6106106106106106, 0.6706706706706707, 0.6806806806806807, 0.6966966966966966]"
BERT,L1,100000,2.00E-05,4,8,7,NA,NA,NA,1.00E-08,1.00E-04,4,8,"[0.4838673787271918, 0.6599910992434357, 0.8119715175789942, 0.92311971517579]","[0.5635635635635635, 0.6546546546546547, 0.6726726726726727, 0.6896896896896897]"
BERT,L1 ,100000,2.00E-05,4,16,7,NA,NA,NA,1.00E-08,1.00E-04,8,8,"[0.521680216802168, 0.7327913279132792, 0.8739837398373984, 0.935230352303523, 0.9650406504065041, 0.9766937669376694, 0.981029810298103, 0.9826558265582656]","[0.5815085158150851, 0.6496350364963503, 0.6399026763990268, 0.6934306569343066, 0.6739659367396593, 0.6715328467153284, 0.6642335766423357, 0.6545012165450121]"
BERT,L1 ,100000,2.00E-05,2,16,7,NA,NA,NA,1.00E-08,1.00E-04,8,8,"[0.5205962059620596, 0.7276422764227642, 0.8726287262872628, 0.9336043360433605, 0.9615176151761518, 0.9769647696476965, 0.978319783197832, 0.983739837398374]","[0.5790754257907542, 0.6180048661800487, 0.681265206812652, 0.6788321167883211, 0.6618004866180048, 0.6690997566909975, 0.683698296836983, 0.6885644768856448]"
BERT,L1 + L2,100000,2.00E-05,1,16,7,2.00E-05,4,16,1.00E-08,1.00E-04,4,8,"[0.5203252032520326, 0.7268292682926829, 0.8769647696476964, 0.9509485094850949]","[0.5863746958637469, 0.6277372262773723, 0.683698296836983, 0.6618004866180048]"
BERT,L1 + L2,100000,2.00E-05,2,16,7,2.00E-05,4,16,1.00E-08,1.00E-04,4,8,"[0.5200542005420055, 0.7436314363143632, 0.8821138211382114, 0.9479674796747969]","[0.6058394160583942, 0.6593673965936739, 0.6715328467153284, 0.6666666666666666]"
BERT,L1 + L2,100000,2.00E-05,4,16,7,2.00E-05,4,16,1.00E-08,1.00E-04,4,8,"[0.5281842818428184, 0.7444444444444445, 0.8742547425474255, 0.9501355013550136]","[0.6009732360097324, 0.6472019464720195, 0.6739659367396593, 0.6934306569343066]"
BERT,L1 + L2,100000,2.00E-05,1,16,7,1.00E-04,4,8,1.00E-08,1.00E-04,8,8,"[0.5110146862483311, 0.6885847797062751, 0.8334445927903872, 0.931909212283044, 0.9679572763684912, 0.9829773030707611, 0.9888740542946151, 0.9900979083222073]","[0.5935935935935935, 0.6596596596596597, 0.6646646646646647, 0.6916916916916916, 0.6746746746746747, 0.6706706706706707, 0.6836836836836837, 0.6916916916916916]"
BERT,L1 + L2,100000,2.00E-05,2,16,7,1.00E-04,4,8,1.00E-08,1.00E-04,8,8,"[0.5041165999109924, 0.6695594125500668, 0.8236537605696485, 0.9216733422340899, 0.9633956386292835, 0.9786381842456608, 0.986648865153538, 0.9894303515798842]","[0.5835835835835835, 0.6586586586586587, 0.7077077077077077, 0.7167167167167166, 0.6836836836836837, 0.7057057057057057, 0.7017017017017017, 0.7097097097097097]"
BERT,L1 + L2,100000,2.00E-05,4,16,7,1.00E-04,4,8,1.00E-08,1.00E-04,8,8,"[0.5100133511348465, 0.6783489096573209, 0.8256564307966177, 0.9265687583444593, 0.9671784601691144, 0.9811971517578995, 0.9864263462394304, 0.9895416110369382]","[0.6096096096096096, 0.6686686686686687, 0.6936936936936937, 0.7077077077077077, 0.7017017017017017, 0.6786786786786787, 0.6856856856856857, 0.6916916916916916]"
BERT,L1 + L2,100000,2.00E-05,1,16,7,1.00E-04,4,16,1.00E-08,1.00E-04,8,8,"[0.5094570538495772, 0.6816866933689364, 0.834445927903872, 0.9263462394303515, 0.9690698709390299, 0.9834223408989764, 0.9885402759234535, 0.989652870493992]","[0.6066066066066066, 0.6686686686686687, 0.6796796796796797, 0.6966966966966966, 0.6756756756756757, 0.6946946946946947, 0.6976976976976977, 0.6986986986986987]"
BERT,L1 + L2,100000,2.00E-05,2,16,7,1.00E-04,4,16,1.00E-08,1.00E-04,8,8,"[0.5043391188251002, 0.6720071206052515, 0.8177570093457944, 0.9187805963506898, 0.9632843791722296, 0.9811971517578995, 0.9868713840676457, 0.9898753894080997]","[0.6126126126126126, 0.6676676676676677, 0.6876876876876877, 0.7097097097097097, 0.7047047047047047, 0.7127127127127126, 0.7027027027027027, 0.7087087087087086]"
BERT,L1 + L2,100000,2.00E-05,4,16,7,1.00E-04,4,16,1.00E-08,1.00E-04,8,8,"[0.5072318647085002, 0.67311971517579, 0.8120827770360479, 0.9177792612372052, 0.9617267467734757, 0.9801958166444148, 0.9870939029817535, 0.989652870493992]","[0.5955955955955956, 0.6706706706706707, 0.6906906906906907, 0.7127127127127126, 0.6826826826826827, 0.6806806806806807, 0.6966966966966966, 0.6926926926926927]"
BERT,No,100000,1.00E-04,,,7,,,,1.00E-09,1.00E-04,4,8,"[0.516243880729862, 0.6841344014241211, 0.82688028482421, 0.9273475745438362, 0.9642857142857143, 0.9824210057854917, 0.988206497552292, 0.9897641299510458]","[0.5915915915915916, 0.6846846846846847, 0.6906906906906907, 0.6906906906906907, 0.6886886886886887, 0.7047047047047047, 0.6956956956956957, 0.6996996996996997]"
